t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
58.85521412,-0.31,1.15,9.36,-2.19,-3.75,-4.94,14.75,1.06,-40.19,-0.84,-0.05,-0.05,-0.54,
59.18064713,-1.1,1.12,9.44,-3.13,13,-6.25,17,2.19,-38.19,-0.84,-0.03,-0.07,-0.53,
59.50713253,-0.76,1.2,9.44,2.81,-14.13,-2.44,17,3,-39.75,-0.85,-0.03,-0.06,-0.52,
59.83160472,-0.54,1.26,9.47,2.38,9.88,-6.06,15.5,2.56,-40.19,-0.86,-0.04,-0.06,-0.51,
60.15836763,-1.23,1.45,9.59,-0.25,0.19,-4.13,18.5,2.56,-39,-0.86,-0.03,-0.09,-0.5,
60.48350286,-0.8,1.03,9.29,-1.06,-18.81,-2,17,3.25,-40.19,-0.87,-0.04,-0.06,-0.49,
60.8099885,-0.24,1.36,9.35,0.06,14.88,-5.13,13.88,3.25,-40.88,-0.87,-0.05,-0.05,-0.48,
61.13513803,-1.38,1.19,9.52,-0.13,8.81,-5.5,18.69,4.75,-40.06,-0.88,-0.02,-0.09,-0.47,
61.4612484,-0.75,1.32,9.46,0.94,-23.38,0.75,16.88,4.06,-40.06,-0.88,-0.04,-0.06,-0.47,
61.78638506,-0.38,1.15,9.37,-0.13,15.25,-4.94,14.69,4.06,-42,-0.89,-0.05,-0.05,-0.46,
62.1125052,-1.47,1.26,9.53,2.5,-1.5,-1.94,18.69,4.38,-40.38,-0.89,-0.03,-0.09,-0.45,
62.43716025,-0.08,1.44,9.21,1.38,-15.13,1,16.06,3,-42.38,-0.89,-0.06,-0.05,-0.45,
62.76395869,-0.95,1.26,9.57,-5.88,32.44,-6.81,15.75,4.75,-42.5,-0.89,-0.03,-0.08,-0.44,
63.08908939,-1.36,0.95,9.53,0.19,-29.19,3.88,19.56,6.25,-40.38,-0.89,-0.02,-0.08,-0.44,
63.41470861,-0.02,1.02,9.26,4.63,-4.94,1.13,13.19,5.88,-42.75,-0.9,-0.06,-0.02,-0.44,
63.74011374,-1.14,1.1,9.52,1.06,31.19,-11.38,15.75,5.19,-41.25,-0.9,-0.04,-0.08,-0.42,
64.06695986,-1.32,1.43,9.21,0.94,-21.06,-2.19,18.69,4.75,-40,-0.91,-0.04,-0.09,-0.41,
64.39194727,-0.16,1.27,9.78,-4.06,-8.69,-3.44,13.56,5.19,-43.19,-0.91,-0.06,-0.04,-0.4,
